,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
61,0 days 00:00:12.046132,105,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
62,0 days 00:00:12.249205,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
63,0 days 00:00:12.452318,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
64,0 days 00:00:12.639844,106,121,121,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
65,0 days 00:00:12.842918,106,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
66,0 days 00:00:13.030444,105,120,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
67,0 days 00:00:13.233554,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
68,0 days 00:00:13.436634,105,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
69,0 days 00:00:13.624155,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
70,0 days 00:00:13.827265,105,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
71,0 days 00:00:14.030341,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
72,0 days 00:00:14.217866,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
73,0 days 00:00:14.420936,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
74,0 days 00:00:14.624051,105,120,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
75,0 days 00:00:14.811579,105,120,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
76,0 days 00:00:15.014652,105,120,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
77,0 days 00:00:15.217764,105,121,121,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
78,0 days 00:00:15.405288,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
79,0 days 00:00:15.608364,105,121,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
80,0 days 00:00:15.811478,105,121,122,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
81,0 days 00:00:15.999000,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
82,0 days 00:00:16.202079,106,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
83,0 days 00:00:16.405187,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
84,0 days 00:00:16.592712,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
85,0 days 00:00:16.795787,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
86,0 days 00:00:16.998897,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
87,0 days 00:00:17.186422,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
88,0 days 00:00:17.389498,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
89,0 days 00:00:17.577022,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
90,0 days 00:00:17.780137,106,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
91,0 days 00:00:17.983210,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
92,0 days 00:00:18.170734,106,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
93,0 days 00:00:18.373846,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
94,0 days 00:00:18.576922,105,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
95,0 days 00:00:18.764447,105,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
96,0 days 00:00:18.967517,105,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
97,0 days 00:00:19.170636,105,120,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
98,0 days 00:00:19.358159,105,120,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
99,0 days 00:00:19.561233,105,120,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
100,0 days 00:00:19.764343,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
101,0 days 00:00:19.951868,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
102,0 days 00:00:20.154944,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
103,0 days 00:00:20.358056,105,121,121,111,107,133,135,134,135,255,255,255,255,255,255,255,255,255
104,0 days 00:00:20.545580,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
105,0 days 00:00:20.748655,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
106,0 days 00:00:20.951766,106,121,121,110,107,133,135,134,134,255,255,255,255,255,255,255,255,255
