,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
61,0 days 00:00:12.065009,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
62,0 days 00:00:12.252514,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
63,0 days 00:00:12.455638,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
64,0 days 00:00:12.658759,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
65,0 days 00:00:12.846258,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
66,0 days 00:00:13.049389,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
67,0 days 00:00:13.252509,123,141,139,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
68,0 days 00:00:13.440007,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
69,0 days 00:00:13.643097,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
70,0 days 00:00:13.846258,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
71,0 days 00:00:14.033763,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
72,0 days 00:00:14.236883,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
73,0 days 00:00:14.440009,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
74,0 days 00:00:14.627513,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
75,0 days 00:00:14.830597,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
76,0 days 00:00:15.033758,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
77,0 days 00:00:15.221264,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
78,0 days 00:00:15.424356,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
79,0 days 00:00:15.627509,123,141,139,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
80,0 days 00:00:15.815012,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
81,0 days 00:00:16.018133,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
82,0 days 00:00:16.221260,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
83,0 days 00:00:16.408763,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
84,0 days 00:00:16.611883,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
85,0 days 00:00:16.815009,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
86,0 days 00:00:17.002513,123,141,140,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
87,0 days 00:00:17.205634,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
88,0 days 00:00:17.408758,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
89,0 days 00:00:17.596264,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
90,0 days 00:00:17.799384,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
91,0 days 00:00:18.002508,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
92,0 days 00:00:18.190014,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
93,0 days 00:00:18.393133,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
94,0 days 00:00:18.596259,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
95,0 days 00:00:18.783764,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
96,0 days 00:00:18.986884,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
97,0 days 00:00:19.190009,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
98,0 days 00:00:19.377513,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
99,0 days 00:00:19.580633,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
100,0 days 00:00:19.783759,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
101,0 days 00:00:19.971264,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
102,0 days 00:00:20.174383,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
103,0 days 00:00:20.361888,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
104,0 days 00:00:20.565020,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
105,0 days 00:00:20.768133,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
106,0 days 00:00:20.955638,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
107,0 days 00:00:21.158762,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
108,0 days 00:00:21.361883,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
109,0 days 00:00:21.549388,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
110,0 days 00:00:21.752513,123,141,140,133,128,151,151,151,150,255,255,255,255,255,255,255,255,255
111,0 days 00:00:21.955634,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
112,0 days 00:00:22.143133,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
113,0 days 00:00:22.346264,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
114,0 days 00:00:22.549383,123,141,140,133,128,149,152,152,150,255,255,255,255,255,255,255,255,255
115,0 days 00:00:22.736887,123,141,140,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
116,0 days 00:00:22.940005,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
117,0 days 00:00:23.143133,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
118,0 days 00:00:23.330635,123,141,140,133,128,149,151,152,150,255,255,255,255,255,255,255,255,255
119,0 days 00:00:23.533764,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
120,0 days 00:00:23.736883,123,142,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
121,0 days 00:00:23.924387,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
122,0 days 00:00:24.127513,123,142,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
123,0 days 00:00:24.330635,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
124,0 days 00:00:24.518140,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
125,0 days 00:00:24.721263,123,141,140,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
126,0 days 00:00:24.924383,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
127,0 days 00:00:25.111888,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
128,0 days 00:00:25.315013,123,141,140,133,127,151,152,151,151,255,255,255,255,255,255,255,255,255
129,0 days 00:00:25.518095,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
130,0 days 00:00:25.705638,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
131,0 days 00:00:25.908763,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
132,0 days 00:00:26.111883,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
133,0 days 00:00:26.299388,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
134,0 days 00:00:26.502471,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
135,0 days 00:00:26.705634,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
136,0 days 00:00:26.893139,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
137,0 days 00:00:27.096222,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
138,0 days 00:00:27.299383,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
139,0 days 00:00:27.486888,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
140,0 days 00:00:27.689983,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
141,0 days 00:00:27.893133,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
142,0 days 00:00:28.080639,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
143,0 days 00:00:28.283721,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
144,0 days 00:00:28.486883,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
145,0 days 00:00:28.674388,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
146,0 days 00:00:28.877510,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
147,0 days 00:00:29.080633,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
148,0 days 00:00:29.268138,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
149,0 days 00:00:29.471261,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
150,0 days 00:00:29.674383,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
151,0 days 00:00:29.861888,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
152,0 days 00:00:30.064981,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
153,0 days 00:00:30.268133,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
154,0 days 00:00:30.455640,123,141,140,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
155,0 days 00:00:30.658719,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
156,0 days 00:00:30.861884,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
157,0 days 00:00:31.049390,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
158,0 days 00:00:31.252482,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
159,0 days 00:00:31.455633,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
160,0 days 00:00:31.643139,123,141,139,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
161,0 days 00:00:31.846259,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
162,0 days 00:00:32.049384,123,141,140,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
163,0 days 00:00:32.236889,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
164,0 days 00:00:32.440007,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
165,0 days 00:00:32.643134,123,142,141,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
166,0 days 00:00:32.830639,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
167,0 days 00:00:33.033758,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
168,0 days 00:00:33.236887,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
169,0 days 00:00:33.424389,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
170,0 days 00:00:33.627508,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
171,0 days 00:00:33.830633,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
172,0 days 00:00:34.018138,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
173,0 days 00:00:34.221258,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
174,0 days 00:00:34.408763,123,141,139,133,127,149,152,152,150,255,255,255,255,255,255,255,255,255
175,0 days 00:00:34.611888,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
176,0 days 00:00:34.815008,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
177,0 days 00:00:35.002514,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
178,0 days 00:00:35.205639,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
179,0 days 00:00:35.408758,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
180,0 days 00:00:35.596263,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
181,0 days 00:00:35.799388,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
182,0 days 00:00:36.002508,123,140,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
183,0 days 00:00:36.190013,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
184,0 days 00:00:36.393139,123,141,140,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
185,0 days 00:00:36.596260,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
186,0 days 00:00:36.783763,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
187,0 days 00:00:36.986888,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
188,0 days 00:00:37.190008,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
189,0 days 00:00:37.377513,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
190,0 days 00:00:37.580640,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
191,0 days 00:00:37.783759,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
