Unnamed: 0,battery_level,device,floor_calib,height,height_std,hum_in,hum_out,pressure,start_calib,temp,temp_in,temp_out,time,wake_reason,wifi_rssi
,77.4,ESP32-S2,73.0,103.95,14.81,99.9,52.29,,18.0,,18.8,19.06,2023-12-30 18:06:40.729404484+00:00,timeout,-64.0
,76.4,ESP32-S2,73.0,101.6,15.14,99.9,51.81,,18.0,,18.7,19.02,2023-12-30 18:10:38.194361207+00:00,timeout,-63.0
,76.4,ESP32-S2,73.0,100.99,14.99,99.9,51.87,,18.0,,18.7,18.98,2023-12-30 18:14:36.476519254+00:00,timeout,-65.0
,76.4,ESP32-S2,73.0,101.11,14.53,99.9,51.65,,18.0,,18.6,18.95,2023-12-30 18:18:35.072564614+00:00,timeout,-64.0
,75.4,ESP32-S2,73.0,101.98,14.84,99.9,51.88,,18.0,,18.6,18.92,2023-12-30 18:22:33.468702774+00:00,timeout,-65.0
,73.4,ESP32-S2,73.0,101.23,14.82,99.9,51.9,,18.0,,18.6,18.93,2023-12-30 18:26:31.138536187+00:00,timeout,-65.0
,76.4,ESP32-S2,73.0,100.25,15.23,99.9,51.99,,18.0,,18.6,18.97,2023-12-30 18:30:29.831785650+00:00,timeout,-63.0
,73.4,ESP32-S2,73.0,100.86,14.63,99.9,51.61,,18.0,,18.6,19.01,2023-12-30 18:34:27.674651602+00:00,timeout,-65.0
,78.4,ESP32-S2,73.0,103.46,14.44,99.9,52.03,,18.0,,18.6,19.04,2023-12-30 18:38:25.923094551+00:00,timeout,-65.0
,72.4,ESP32-S2,73.0,100.37,15.13,99.9,51.81,,18.0,,18.6,19.06,2023-12-30 18:42:24.281121036+00:00,timeout,-64.0
,78.4,ESP32-S2,73.0,102.84,14.74,99.9,51.76,,18.0,,18.7,19.08,2023-12-30 18:46:22.462211026+00:00,timeout,-65.0
,76.4,ESP32-S2,73.0,101.36,14.15,99.9,50.72,,18.0,,18.6,19.09,2023-12-30 18:50:20.751113733+00:00,timeout,-64.0
,72.4,ESP32-S2,73.0,102.59,14.67,99.9,50.87,,18.0,,18.6,19.09,2023-12-30 18:54:18.317052087+00:00,timeout,-66.0
,74.4,ESP32-S2,73.0,101.85,14.49,99.9,51.01,,18.0,,18.7,19.06,2023-12-30 18:58:17.234446631+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,102.1,14.37,99.9,51.14,,18.0,,18.6,19.02,2023-12-30 19:02:15.522359847+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,104.07,14.59,99.9,51.01,,18.0,,18.6,18.99,2023-12-30 19:06:13.715835902+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,101.85,14.49,99.9,50.75,,18.0,,18.6,18.96,2023-12-30 19:10:11.687269326+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,101.11,14.18,99.9,51.0,,18.0,,18.5,18.93,2023-12-30 19:14:10.537354297+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,103.95,14.67,99.9,50.63,,18.0,,18.5,18.9,2023-12-30 19:18:08.243733346+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,104.32,14.96,99.9,50.75,,18.0,,18.5,18.88,2023-12-30 19:22:05.916336643+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,101.23,14.28,99.9,50.73,,18.0,,18.5,18.85,2023-12-30 19:26:04.612320442+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,103.33,14.72,99.9,50.66,,18.0,,18.5,18.83,2023-12-30 19:30:02.706003346+00:00,timeout,-66.0
,72.4,ESP32-S2,73.0,102.1,14.3,99.9,50.47,,18.0,,18.4,18.8,2023-12-30 19:34:00.878644253+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,101.73,14.34,99.9,50.86,,18.0,,18.4,18.81,2023-12-30 19:37:59.063132075+00:00,timeout,-66.0
,76.4,ESP32-S2,73.0,102.72,14.6,99.9,50.86,,18.0,,18.4,18.86,2023-12-30 19:41:56.632438601+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,102.22,14.52,99.9,50.49,,18.0,,18.4,18.9,2023-12-30 19:45:54.720496414+00:00,timeout,-66.0
,74.4,ESP32-S2,73.0,102.84,14.33,99.9,50.49,,18.0,,18.4,18.94,2023-12-30 19:49:53.514557398+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,102.1,14.44,99.9,50.5,,18.0,,18.4,18.95,2023-12-30 19:53:51.083218386+00:00,timeout,-67.0
,71.4,ESP32-S2,73.0,103.7,14.42,99.9,49.98,,18.0,,18.5,18.97,2023-12-30 19:57:49.924534934+00:00,timeout,-67.0
,73.4,ESP32-S2,73.0,102.72,14.67,99.9,49.62,,18.0,,18.5,18.98,2023-12-30 20:01:47.834748082+00:00,timeout,-67.0
,74.4,ESP32-S2,73.0,102.84,14.4,99.9,49.62,,18.0,,18.5,19.0,2023-12-30 20:05:46.154669322+00:00,timeout,-72.0
,76.4,ESP32-S2,73.0,103.21,14.53,99.9,49.71,,18.0,,18.5,18.97,2023-12-30 20:09:44.235401223+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,103.95,15.01,99.9,49.74,,18.0,,18.5,18.94,2023-12-30 20:13:42.019839413+00:00,timeout,-66.0
,71.4,ESP32-S2,73.0,104.32,15.09,99.9,49.73,,18.0,,18.5,18.91,2023-12-30 20:17:40.703800941+00:00,timeout,-66.0
,71.4,ESP32-S2,73.0,106.67,15.34,99.9,49.96,,18.0,,18.5,18.88,2023-12-30 20:21:38.273880878+00:00,timeout,-67.0
,74.4,ESP32-S2,73.0,102.84,14.74,99.9,49.8,,18.0,,18.4,18.84,2023-12-30 20:25:36.975572522+00:00,timeout,-66.0
,75.4,ESP32-S2,73.0,106.54,15.45,99.9,49.63,,18.0,,18.4,18.82,2023-12-30 20:29:34.641706597+00:00,timeout,-67.0
,76.4,ESP32-S2,73.0,103.83,14.34,99.9,49.73,,18.0,,18.4,18.79,2023-12-30 20:33:32.826949975+00:00,timeout,-67.0
,72.4,ESP32-S2,73.0,104.81,14.6,99.9,49.73,,18.0,,18.4,18.77,2023-12-30 20:37:31.520569830+00:00,timeout,-66.0
,73.4,ESP32-S2,73.0,104.81,15.27,99.9,49.67,,18.0,,18.4,18.75,2023-12-30 20:41:29.706286025+00:00,timeout,-66.0
,73.4,ESP32-S2,73.0,104.44,15.27,99.9,49.71,,18.0,,18.4,18.73,2023-12-30 20:45:27.990196979+00:00,timeout,-66.0
,71.4,ESP32-S2,73.0,104.32,15.29,99.9,49.79,,18.0,,18.4,18.74,2023-12-30 20:49:26.379667557+00:00,timeout,-67.0
,75.4,ESP32-S2,73.0,104.2,14.64,99.9,49.81,,18.0,,18.3,18.78,2023-12-30 20:53:24.771727917+00:00,timeout,-67.0
,75.4,ESP32-S2,73.0,107.65,14.92,99.9,49.7,,18.0,,18.4,18.83,2023-12-30 20:57:22.953832749+00:00,timeout,-67.0
,71.4,ESP32-S2,73.0,106.67,15.59,99.9,50.04,,18.0,,18.4,18.86,2023-12-30 21:01:20.938365396+00:00,timeout,-67.0
,73.4,ESP32-S2,73.0,106.79,15.29,99.9,49.96,,18.0,,18.4,18.84,2023-12-30 21:05:18.708803466+00:00,timeout,-67.0
,70.4,ESP32-S2,73.0,105.31,14.96,99.9,50.13,,18.0,,18.4,18.82,2023-12-30 21:09:17.300537318+00:00,timeout,-67.0
,71.4,ESP32-S2,73.0,107.16,14.87,99.9,50.21,,18.0,,18.4,18.82,2023-12-30 21:13:15.236473585+00:00,timeout,-67.0
,73.4,ESP32-S2,73.0,108.52,14.81,99.9,50.26,,18.0,,18.4,18.81,2023-12-30 21:17:13.568570994+00:00,timeout,-67.0
,71.4,ESP32-S2,73.0,107.41,14.9,99.9,50.54,,18.0,,18.4,18.8,2023-12-30 21:21:11.757795640+00:00,timeout,-66.0
,73.4,ESP32-S2,73.0,107.78,14.59,99.9,50.44,,18.0,,18.5,18.8,2023-12-30 21:25:09.501494484+00:00,timeout,-67.0
,73.4,ESP32-S2,73.0,108.27,14.67,99.9,50.65,,18.0,,18.4,18.79,2023-12-30 21:29:07.967440580+00:00,timeout,-67.0
,71.4,ESP32-S2,73.0,109.51,15.07,99.9,50.58,,18.0,,18.4,18.78,2023-12-30 21:33:06.304969001+00:00,timeout,-66.0
,73.4,ESP32-S2,73.0,108.4,14.74,99.9,50.64,,18.0,,18.4,18.77,2023-12-30 21:37:04.601289303+00:00,timeout,-65.0
,72.4,ESP32-S2,73.0,106.42,15.49,99.9,50.91,,18.0,,18.5,18.77,2023-12-30 21:41:02.264984893+00:00,timeout,-71.0
,74.4,ESP32-S2,73.0,110.12,14.72,99.9,51.16,,18.0,,18.3,18.76,2023-12-30 21:45:00.864094150+00:00,timeout,-59.0
,70.4,ESP32-S2,73.0,112.35,13.92,99.9,51.29,,18.0,,18.3,18.74,2023-12-30 21:48:59.251982103+00:00,timeout,-59.0
,72.4,ESP32-S2,73.0,110.25,14.28,99.9,51.57,,18.0,,18.4,18.73,2023-12-30 21:52:57.429778912+00:00,timeout,-53.0
,76.4,ESP32-S2,73.0,110.49,14.44,99.9,51.53,,18.0,,18.3,18.72,2023-12-30 21:56:55.160814448+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,110.62,14.41,99.9,51.81,,18.0,,18.3,18.71,2023-12-30 22:00:53.591469757+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,111.85,13.75,99.9,51.53,,18.0,,18.3,18.72,2023-12-30 22:04:51.704665447+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,111.73,14.58,99.9,51.99,,18.0,,18.3,18.72,2023-12-30 22:08:49.959395262+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,111.73,14.3,99.9,51.88,,18.0,,18.3,18.73,2023-12-30 22:12:47.601270952+00:00,timeout,-53.0
,74.4,ESP32-S2,73.0,109.75,14.78,99.9,52.13,,18.0,,18.3,18.73,2023-12-30 22:16:46.479580545+00:00,timeout,-53.0
,69.4,ESP32-S2,73.0,113.21,13.66,99.9,52.01,,18.0,,18.3,18.74,2023-12-30 22:20:43.870506631+00:00,timeout,-53.0
,69.4,ESP32-S2,73.0,110.37,14.81,99.9,52.31,,18.0,,18.3,18.75,2023-12-30 22:24:41.983084404+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,113.83,13.24,99.9,52.21,,18.0,,18.3,18.75,2023-12-30 22:28:40.887363932+00:00,timeout,-53.0
,73.4,ESP32-S2,73.0,113.95,13.46,99.9,52.04,,18.0,,18.3,18.75,2023-12-30 22:32:38.329459124+00:00,timeout,-53.0
,74.4,ESP32-S2,73.0,115.56,13.75,99.9,52.35,,18.0,,18.4,18.74,2023-12-30 22:36:37.153439922+00:00,timeout,-53.0
,74.4,ESP32-S2,73.0,116.91,13.78,99.9,52.19,,18.0,,18.4,18.74,2023-12-30 22:40:35.132604328+00:00,timeout,-54.0
,74.4,ESP32-S2,73.0,116.42,14.35,99.9,52.38,,18.0,,18.3,18.74,2023-12-30 22:44:32.918900618+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,117.41,14.67,99.9,52.36,,18.0,,18.3,18.74,2023-12-30 22:48:31.813191703+00:00,timeout,-53.0
,69.4,ESP32-S2,73.0,116.79,13.96,99.9,52.55,,18.0,,18.3,18.73,2023-12-30 22:52:29.889678296+00:00,timeout,-53.0
,71.4,ESP32-S2,73.0,118.02,13.94,99.9,52.71,,18.0,,18.3,18.73,2023-12-30 22:56:28.056093707+00:00,timeout,-53.0
